"state","acq_date","cumu_sum","rank","next_val"
"Northern Territory",2019-12-02,12439,2,12513
"Western Australia",2019-12-02,11056,3,11107
"Queensland",2019-12-02,8762,4,8925
"New South Wales",2019-12-03,19333,1,20401
"Northern Territory",2019-12-03,12513,2,12645
"Western Australia",2019-12-03,11107,3,11280
"Queensland",2019-12-03,8925,4,9095
"Tasmania",2019-12-03,77,5,80
"New South Wales",2019-12-04,20401,1,22089
"Northern Territory",2019-12-04,12645,2,12779
"Western Australia",2019-12-04,11280,3,11360
"Queensland",2019-12-04,9095,4,9280
"Tasmania",2019-12-04,80,5,85
"New South Wales",2019-12-05,22089,1,23673
"Northern Territory",2019-12-05,12779,2,12927
"Western Australia",2019-12-05,11360,3,11555
"Queensland",2019-12-05,9280,4,9421
"Victoria",2019-12-05,294,5,299
"Tasmania",2019-12-05,85,6,103
"New South Wales",2019-12-06,23673,1,24664
"Northern Territory",2019-12-06,12927,2,12956
"Western Australia",2019-12-06,11555,3,11676
"Queensland",2019-12-06,9421,4,9705
"Victoria",2019-12-06,299,5,309
"Tasmania",2019-12-06,103,6,104
"New South Wales",2019-12-07,24664,1,24900
"Northern Territory",2019-12-07,12956,2,13054
"Western Australia",2019-12-07,11676,3,11904
"Queensland",2019-12-07,9705,4,10001
"Victoria",2019-12-07,309,5,326
"Tasmania",2019-12-07,104,6,120
"New South Wales",2019-12-08,24900,1,25598
"Northern Territory",2019-12-08,13054,2,13082
"Western Australia",2019-12-08,11904,3,12057
"Queensland",2019-12-08,10001,4,10439
"South Australia",2019-12-08,887,5,890
"Victoria",2019-12-08,326,6,425
"Tasmania",2019-12-08,120,7,121
"New South Wales",2019-12-09,25598,1,26083
"Northern Territory",2019-12-09,13082,2,13117
"Western Australia",2019-12-09,12057,3,12181
"Queensland",2019-12-09,10439,4,10556
"Victoria",2019-12-09,425,5,440
"Tasmania",2019-12-09,121,6,132
"New South Wales",2019-12-10,26083,1,26140
"Northern Territory",2019-12-10,13117,2,13142
"Western Australia",2019-12-10,12181,3,12360
"Queensland",2019-12-10,10556,4,10677
"Victoria",2019-12-10,440,5,441
"Tasmania",2019-12-10,132,6,134
"New South Wales",2019-12-11,26140,1,26253
"Northern Territory",2019-12-11,13142,2,13176
